RecordTypeId,mbfc__Person__c,mbfc__Completion_Date__c,mbfc__Start_Date__c,mbfc__Context__c,mbfc__Category__c,mbfc__Affiliation__c,Archdpdx_Migration_Id__c
012Dx0000003p5AIAQ,003Dx00000nKit0IAC,1997-07-12,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkit0iac19970712candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkit2iac20010908readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkit2iac20010908acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkit2iac20010908candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKit9IAC,,2023-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkit9iac20230701faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKitBIAS,,2011-01-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkitbias20110101faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKitGIAS,,2019-08-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkitgias20190801faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKitKIAS,,1999-06-12,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkitkias19990612faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKj9aIAC,,2020-07-31,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkj9aiac20200731faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKj9dIAC,2011-09-20,,001Dx00001HwFFCIA3,Ecclesial Affiliations,Incardinated,003dx00000nkj9diac20110920incardinated
012Dx0000003p5DIAQ,003Dx00000nKj9dIAC,,2011-09-20,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkj9diac20110920faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKj9xIAC,,2007-11-03,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkj9xiac20071103faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKj9xIAC,2004-03-20,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkj9xiac20040320readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKj9xIAC,2004-12-18,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkj9xiac20041218acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKj9xIAC,2006-12-09,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkj9xiac20061209candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjA7IAK,,2022-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkja7iak20220701faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjA8IAK,,2015-06-05,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkja8iak20150605faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKjABIA0,2012-10-15,,001Dx00001HwFFHIA3,Ecclesial Affiliations,Incardinated,003dx00000nkjabia020121015incardinated
012Dx0000003p5DIAQ,003Dx00000nKjABIA0,,2005-05-20,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjabia020050520faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjABIA0,1994-04-10,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjabia019940410readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjABIA0,1994-12-11,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjabia019941211acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjABIA0,1995-09-17,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjabia019950917candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKjAQIA0,2016-04-19,,001Dx00001HwFFMIA3,Ecclesial Affiliations,Incardinated,003dx00000nkjaqia020160419incardinated
012Dx0000003p5DIAQ,003Dx00000nKjARIA0,,2016-12-15,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjaria020161215faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKjATIA0,2002-10-26,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjatia020021026readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjATIA0,2002-10-26,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjatia020021026acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjATIA0,2005-11-05,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjatia020051105candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjAVIA0,,2023-10-12,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjavia020231012faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjAjIAK,,1977-09-24,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjajiak19770924faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKjAlIAK,,2008-10-25,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjaliak20081025faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjAlIAK,2004-12-18,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjaliak20041218readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjAlIAK,2005-11-05,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjaliak20051105acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjAlIAK,2007-11-03,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjaliak20071103candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjAoIAK,,2014-06-06,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjaoiak20140606faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKjAoIAK,2011-02-17,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjaoiak20110217acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjAoIAK,2012-10-25,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjaoiak20121025candidateinstallation
